the_geom,cartodb_id,the_geom_webmercator,mooring_type,maritime_asset_id,crc,publish_date,asset_owner,symbol,ref_id
0101000020E6100000A82B35A5E2E8624084B59C9FF5EB40C0,4203,0101000020110F0000BF4F268D5D0F704190D0E922BB934EC1,Courtesy Mooring,CMH116,3C2CCD5CEEA2607D,20220111,Transport (Maritime),482,1678
0101000020E61000000751158405326340019CF7172EE03CC0,4500,0101000020110F0000186E29E47A4D70416CDD53AC2DA249C1,Courtesy Mooring,NRR201,387CC11E1091F0CE,20220513,Transport (Maritime),482,2229
0101000020E61000005ED5B2FC97F362403F88C92CA58E40C0,4205,0101000020110F00002EC916C675187041CCB5724DB2D54DC1,Courtesy Mooring,NLM224,6706A9066E99D21A,20220111,Transport (Maritime),482,1772
0101000020E6100000DFD88FC85109634066079A84573D40C0,4207,0101000020110F00001015BF68E92A70419779DE9367314DC1,Courtesy Mooring,NML465,F4F5F2CA492ADA73,20220111,Transport (Maritime),482,1768
0101000020E6100000E2B2CF775ADA624053C6E9D921CD40C0,4208,0101000020110F0000FF50EB0006037041B5DF282AC6544EC1,Courtesy Mooring,CHR966,9D595ED6A8EBDA07,20220111,Transport (Maritime),482,1508
0101000020E6100000290941ADF4E762404ABC84EFB1E740C0,4209,0101000020110F0000EF59D071930E704126E21BF0028B4EC1,Courtesy Mooring,CMH114,BF273ACC9C8C33F0,20220111,Transport (Maritime),482,1518
0101000020E6100000D9F10A913CE86240EA0FE8BF30CC40C0,4210,0101000020110F0000B04B2880D00E704113A73F7CDA524EC1,Courtesy Mooring,CCC626,65846773F46801B1,20220111,Transport (Maritime),482,1779
0101000020E610000081C748B1310363402F0CE7BA905C40C0,4211,0101000020110F00001D4309A1B52570418D96B22F5C704DC1,Courtesy Mooring,NPS039,63DAE8891E8A2FA3,20220111,Transport (Maritime),482,1610
0101000020E6100000830FC5D32BE7624015D7BB77C1E540C0,4212,0101000020110F000015A6EDDCE80D7041002426160C874EC1,Courtesy Mooring,CMH095,03B8AF94C9F91201,20220111,Transport (Maritime),482,1709
0101000020E610000035FDA3B765E762408C30648760E340C0,4213,0101000020110F00006C0273071A0E7041C7BBDC922F824EC1,Courtesy Mooring,CMH078,C96C371B5E33BA9A,20220111,Transport (Maritime),482,1595
